Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000692,Bromley 002D,683
E01000693,Bromley 010A,645
E01000694,Bromley 007C,884
E01000695,Bromley 007D,622
E01000696,Bromley 007E,688
E01000697,Bromley 007F,779
E01000698,Bromley 010B,437
E01000699,Bromley 015A,665
E01000700,Bromley 013A,669
E01000701,Bromley 015B,606
E01000702,Bromley 013B,639
E01000703,Bromley 013C,701
E01000704,Bromley 015C,599
E01000705,Bromley 015D,571
E01000706,Bromley 013D,610
E01000707,Bromley 041A,530
E01000708,Bromley 041B,713
E01000709,Bromley 006A,737
E01000710,Bromley 006B,1158
E01000711,Bromley 006C,1027
E01000712,Bromley 012A,881
E01000713,Bromley 012B,888
E01000714,Bromley 006D,1092
E01000715,Bromley 012C,927
E01000716,Bromley 011C,709
E01000717,Bromley 011D,865
E01000718,Bromley 006E,928
E01000719,Bromley 019A,864
E01000720,Bromley 019B,685
E01000721,Bromley 019C,615
E01000722,Bromley 023A,756
E01000723,Bromley 029A,552
E01000724,Bromley 019D,652
E01000725,Bromley 023B,793
E01000726,Bromley 029B,578
E01000727,Bromley 028A,762
E01000728,Bromley 019E,699
E01000729,Bromley 014A,834
E01000730,Bromley 014B,666
E01000731,Bromley 023C,515
E01000732,Bromley 023D,584
E01000733,Bromley 023E,634
E01000734,Bromley 028B,511
E01000735,Bromley 014C,556
E01000736,Bromley 010C,629
E01000737,Bromley 010D,584
E01000738,Bromley 014D,646
E01000739,Bromley 014E,637
E01000741,Bromley 005B,931
E01000742,Bromley 005C,1022
E01000743,Bromley 009A,851
E01000744,Bromley 009B,662
E01000745,Bromley 005D,899
E01000746,Bromley 005E,964
E01000747,Bromley 042B,791
E01000748,Bromley 042C,704
E01000749,Bromley 036A,637
E01000750,Bromley 036B,653
E01000751,Bromley 036C,888
E01000752,Bromley 036D,786
E01000753,Bromley 031A,756
E01000754,Bromley 031B,735
E01000755,Bromley 031C,631
E01000756,Bromley 033D,649
E01000757,Bromley 031D,603
E01000758,Bromley 031E,555
E01000759,Bromley 034A,577
E01000760,Bromley 034B,582
E01000761,Bromley 034C,569
E01000762,Bromley 018D,747
E01000763,Bromley 027A,527
E01000764,Bromley 027B,660
E01000765,Bromley 034D,703
E01000766,Bromley 027C,645
E01000767,Bromley 027D,601
E01000768,Bromley 034E,611
E01000769,Bromley 024A,454
E01000770,Bromley 012D,688
E01000771,Bromley 041C,622
E01000772,Bromley 012E,755
E01000773,Bromley 024B,608
E01000774,Bromley 041D,582
E01000775,Bromley 024C,855
E01000777,Bromley 024D,559
E01000778,Bromley 024E,639
E01000779,Bromley 001A,590
E01000780,Bromley 001B,647
E01000781,Bromley 001C,626
E01000782,Bromley 001D,654
E01000783,Bromley 001E,636
E01000784,Bromley 002E,592
E01000785,Bromley 001F,632
E01000786,Bromley 032A,636
E01000787,Bromley 029C,674
E01000788,Bromley 029D,614
E01000789,Bromley 032B,661
E01000790,Bromley 028C,1045
E01000791,Bromley 029E,622
E01000792,Bromley 032C,573
E01000793,Bromley 032D,627
E01000794,Bromley 035E,605
E01000795,Bromley 032E,537
E01000796,Bromley 009C,620
E01000797,Bromley 013E,689
E01000798,Bromley 009D,735
E01000799,Bromley 004A,754
E01000800,Bromley 009E,797
E01000801,Bromley 015E,651
E01000802,Bromley 004B,802
E01000803,Bromley 004C,747
E01000804,Bromley 004D,564
E01000805,Bromley 004E,798
E01000806,Bromley 009F,778
E01000807,Bromley 022C,637
E01000808,Bromley 025A,620
E01000809,Bromley 022D,641
E01000810,Bromley 025B,595
E01000811,Bromley 025C,573
E01000812,Bromley 028D,675
E01000813,Bromley 025D,621
E01000814,Bromley 028E,580
E01000815,Bromley 025E,561
E01000816,Bromley 040A,614
E01000818,Bromley 040B,640
E01000819,Bromley 040C,756
E01000820,Bromley 008C,701
E01000822,Bromley 008D,713
E01000823,Bromley 008E,734
E01000824,Bromley 008F,578
E01000825,Bromley 008G,810
E01000826,Bromley 021A,561
E01000827,Bromley 021B,781
E01000828,Bromley 011E,768
E01000829,Bromley 018E,702
E01000830,Bromley 021C,555
E01000831,Bromley 021D,773
E01000832,Bromley 030A,586
E01000833,Bromley 021E,497
E01000834,Bromley 027E,461
E01000835,Bromley 030B,699
E01000836,Bromley 030C,495
E01000837,Bromley 030D,652
E01000838,Bromley 030E,541
E01000839,Bromley 030F,541
E01000840,Bromley 030G,686
E01000841,Bromley 030H,661
E01000842,Camden 011A,708
E01000843,Camden 014A,651
E01000844,Camden 011B,819
E01000845,Camden 014B,697
E01000846,Camden 014C,581
E01000847,Camden 014D,618
E01000848,Camden 011C,740
E01000849,Camden 011D,737
E01000850,Camden 026A,573
E01000851,Camden 026B,631
E01000853,Camden 029H,720
E01000855,Camden 028A,809
E01000856,Camden 019A,646
E01000857,Camden 018A,637
E01000858,Camden 018B,798
E01000859,Camden 018C,700
E01000860,Camden 018D,675
E01000861,Camden 019B,697
E01000862,Camden 018E,807
E01000863,Camden 021A,694
E01000866,Camden 009A,923
E01000867,Camden 015C,767
E01000868,Camden 015D,745
E01000869,Camden 015E,878
E01000870,Camden 009B,725
E01000871,Camden 005A,651
E01000872,Camden 005B,855
E01000873,Camden 005C,667
E01000874,Camden 005D,630
E01000875,Camden 013A,771
E01000876,Camden 013B,827
E01000877,Camden 005E,662
E01000878,Camden 004A,764
E01000879,Camden 004B,573
E01000880,Camden 004C,578
E01000881,Camden 008A,602
E01000882,Camden 008B,665
E01000883,Camden 008C,755
E01000884,Camden 004D,583
E01000885,Camden 004E,528
E01000886,Camden 006A,593
E01000887,Camden 006B,654
E01000888,Camden 006C,640
E01000889,Camden 007A,707
E01000890,Camden 007B,604
E01000891,Camden 007C,615
E01000892,Camden 006D,817
E01000893,Camden 002A,657
E01000894,Camden 002B,565
E01000895,Camden 002C,783
E01000896,Camden 002D,661
E01000897,Camden 008D,654
E01000898,Camden 008E,826
E01000899,Camden 002E,707
E01000900,Camden 012A,716
E01000901,Camden 007D,732
E01000902,Camden 012B,545
E01000903,Camden 006E,626
E01000904,Camden 012C,897
E01000905,Camden 012D,762
E01000906,Camden 012E,734
E01000907,Camden 001A,615
E01000908,Camden 001B,772
E01000909,Camden 001C,644
E01000910,Camden 003A,557
E01000911,Camden 003B,632
E01000912,Camden 001D,681
E01000913,Camden 001E,683
E01000914,Camden 028B,764
E01000915,Camden 027A,590
E01000916,Camden 027B,933
E01000917,Camden 027C,748
E01000918,Camden 028C,815
E01000919,Camden 028D,713
E01000920,Camden 027D,817
E01000921,Camden 003C,922
E01000922,Camden 007E,688
E01000923,Camden 003D,628
E01000924,Camden 009C,726
E01000925,Camden 009D,568
E01000926,Camden 009E,609
E01000927,Camden 007F,688
E01000928,Camden 003E,752
E01000929,Camden 020A,726
E01000930,Camden 020B,1103
E01000931,Camden 013C,925
E01000932,Camden 013D,879
E01000933,Camden 020C,815
E01000934,Camden 020D,719
E01000935,Camden 020E,705
E01000937,Camden 029G,418
E01000938,Camden 029A,625
E01000939,Camden 029B,486
